Layer,Params,Trace(H),Omg_INT16,Omg_INT8,Omg_INT4,Omg_INT2
encoder2.conv,64,66.46554565429688,7.494145364476035e-06,0.45837586626864807,133.41132865193512,2476.5947585768404
encoder1.conv3x3_bn.conv,36,5.803775310516357,9.831393219271656e-08,0.008117859020050312,2.247426205401358,54.388917002643886
replace_efc_part11,32768,0.00036251667188480496,8.40390280998895e-09,0.0005598600534691744,0.1596653549176305,2.501219367355546
replace_efc_part30,32768,0.00028463982744142413,6.591565442563248e-09,0.0004380447536466325,0.12566166778731896,1.9527861589943702
replace_efc_part20,32768,0.0002932343049906194,5.558929670233492e-09,0.00036592752642274626,0.1064473563024148,1.863619588296363
replace_efc_part3,32768,0.0002578209387138486,6.005460054732307e-09,0.00039720637826074244,0.1155538860040875,1.7655354933270735
replace_efc_part14,32768,0.0002882500411942601,5.066550953827611e-09,0.00033221690777382505,0.09595301073787453,1.7353718230036097
replace_efc_part19,32768,0.00028602563543245196,4.899828484740858e-09,0.0003231372334027802,0.09253205209993852,1.7128888230718873
replace_efc_part12,32768,0.0002975213574245572,4.741915926342001e-09,0.0003154107963957801,0.09117159654189842,1.7003128953927114
replace_efc_part2,32768,0.00029561022529378533,4.731894080234057e-09,0.00031398073624955264,0.09106011976459742,1.6893080542431465
replace_efc_part17,32768,0.00027286025579087436,4.893914205046737e-09,0.00032120791427149115,0.09245375564632277,1.643419106010724
replace_efc_part7,32768,0.00023506353318225592,5.611112336275799e-09,0.00036856441089638315,0.10655157815896812,1.621571327929247
replace_efc_part10,32768,0.0002447140868753195,5.0415468292383945e-09,0.00033108137251078486,0.09631541492380592,1.587460033623811
replace_efc_part1,32768,0.00028718094108626246,4.299959628655794e-09,0.00028350240578753306,0.08328016111829442,1.5758306549184964
replace_efc_part5,32768,0.0002670749672688544,4.486724178855154e-09,0.0002989562416826596,0.08609288768816495,1.5686067449641272
replace_efc_part21,32768,0.0002479193499311805,4.700430549351498e-09,0.00030902708713319066,0.08927566990686388,1.5465445110635518
replace_efc_part6,32768,0.00026169445482082665,4.430514536723394e-09,0.0002953461762490237,0.08448238625576236,1.5459138422735585
replace_efc_part22,32768,0.0002820700465235859,4.20121060749085e-09,0.00027654717867294285,0.08011479443999946,1.5384215670081052
replace_efc_part15,32768,0.000244301714701578,4.567095031475058e-09,0.0003014610334346544,0.0873919724133058,1.5246902408675698
replace_efc_part18,32768,0.0002801976806949824,4.04227594267522e-09,0.0002654229326947466,0.07762818262389674,1.5220964916585014
replace_efc_part31,32768,0.0002556885010562837,4.379754678431431e-09,0.0002908812223396743,0.08360458408487532,1.5184685881038178
replace_efc_part24,32768,0.00027908445918001235,4.0427576705810815e-09,0.0002668898039414336,0.07767246721957416,1.4899829740176422
replace_efc_part29,32768,0.00025548116536810994,4.2659297485913345e-09,0.00028192851643317257,0.08153313284403109,1.48242583384722
replace_efc_part27,32768,0.0002842710819095373,3.864467730869158e-09,0.0002553981490410769,0.0737110711583986,1.4774682989707701
replace_efc_part16,32768,0.00025475333677604795,4.101041007568678e-09,0.0002708849941696743,0.07851859562728904,1.4387249676927047
replace_efc_part4,32768,0.0002573230885900557,3.870873439429761e-09,0.0002545459185130113,0.07368952828981838,1.3978351425265136
replace_efc_part9,32768,0.0002451277105137706,3.850506327194683e-09,0.0002542419720293271,0.07316648979585952,1.392033417671697
replace_efc_part23,32768,0.00024009120534174144,3.562140609209633e-09,0.00023763746594643602,0.06857475234683932,1.3294236313385048
replace_efc_part26,32768,0.00023896704078651965,3.637941489416113e-09,0.00023932856465544336,0.06917092678097411,1.3149273268825834
replace_efc_part28,32768,0.00025405490305274725,3.4636782981556793e-09,0.00022648928368100435,0.06533978439480695,1.3096976878729418
replace_efc_part0,32768,0.00023478930233977735,3.3497632954581415e-09,0.0002204747783382705,0.06396371940981696,1.2444749463812306
replace_efc_part8,32768,0.0002126666222466156,3.3907597647583484e-09,0.0002217241535686579,0.06494171697058759,1.2098176112502768
replace_efc_part25,32768,0.00020182573643978685,3.186341446975456e-09,0.00020721203534905847,0.05996607882060955,1.1191701243030256
replace_efc_part13,32768,0.0001977446227101609,3.040868637783522e-09,0.00020038283735734455,0.05779187629805377,1.08724353111422
encoder_conv.conv1x1_bn.conv,68,0.007869786582887173,1.6111613665322357e-10,1.2543197555127933e-05,0.003082460659137886,0.08844478419773696
se.fc.0,64,0.01519971713423729,8.007658566809834e-11,5.7495775229454696e-06,0.0018005152659696841,0.04829526239584392
encoder1.conv1x9_bn.conv,36,0.006072463467717171,9.583680499946273e-11,5.982014307471747e-06,0.0021122196175586755,0.04711090415080174
encoder1.conv9x1_bn.conv,36,0.00022581063967663795,3.466574711558898e-12,1.6271547970534162e-07,6.75948652279764e-05,0.0020031690737504215
sa.spatial.conv,18,0.0005505945882759988,3.663873549752486e-12,3.3458187438492586e-07,6.222636842902349e-05,0.0016424044143278087
se.fc.2,64,0.000984414597041905,2.909878203674352e-12,1.933177277142485e-07,5.864484444274649e-05,0.001287318039434826
